season,Match_date,city,team1,team2,winner,toss_winner,toss_decision,win_by_runs,win_by_wickets
2010,2010/05/08,Bridgetown,New Zealand, Pakistan,New Zealand, Pakistan,field,1,
2010,2010/05/09,Bridgetown,Australia , Sri Lanka,Australia ,Australia ,bat,81,
2010,2010/05/09,Bridgetown,West Indies , India,West Indies , India,field,14,
2010,2010/05/10,Gros Islet,England, New Zealand,England, New Zealand,bat,,3
2010,2010/05/10,Gros Islet,Pakistan , South Africa,Pakistan ,Pakistan ,bat,11,
2010,2010/05/11,Gros Islet,India, Sri Lanka, Sri Lanka,India,bat,,5
2010,2010/05/11,Gros Islet,West Indies ,Australia,Australia,West Indies ,bat,,6
2010,2010/05/13,Gros Islet,England,Sri Lanka,England,Sri Lanka,bat,,7
2010,2010/05/14,Gros Islet,Australia , Pakistan,Australia ,Australia ,field,,3
2010,2010/05/16,Bridgetown,Australia , England, England, England,field,,7
2010,2010/05/19,North Sound,West Indies , South Africa, South Africa,West Indies ,field,13,
2010,2010/05/20,North Sound,West Indies ,South Africa,South Africa,West Indies ,field,1,
2010,2010/05/22,Lauderhill,New Zealand, Sri Lanka,New Zealand,New Zealand,bat,28,
2010,2010/05/23,Lauderhill,New Zealand, Sri Lanka, Sri Lanka,New Zealand,bat,,7
2010,2010/06/12,Harare,Zimbabwe, India, India, India,field,,6
2010,2010/06/13,Harare,Zimbabwe, India, India, India,field,,7
2010,2010/07/05,Birmingham,Australia , Pakistan, Pakistan, Pakistan,bat,23,
2010,2010/07/06,Birmingham,Australia ,Pakistan,Pakistan,Pakistan,bat,11,
2010,2010/09/05,Cardiff,England, Pakistan,England,England,field,,5
2010,2010/09/07,Cardiff,England,Pakistan,England,Pakistan,bat,,6
2010,2010/10/08,Bloemfontein,South Africa , Zimbabwe,South Africa ,Zimbabwe,bat,,7
2010,2010/10/10,Kimberley,South Africa ,Zimbabwe,South Africa ,South Africa ,bat,8,
2010,2010/10/26,Abu Dhabi,Pakistan , South Africa, South Africa,Pakistan ,bat,,6
